Technology_Domain,Patent_Title,Patent_Abstract,Inventors,Assignee,Filing_Date,Publication_Date,Patent_Number,Patent_Status,IPC_or_CPC_Classification,Country,Keywords,Source_URL
Quantum Computing,Method and System for Quantum Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Quantum Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_158, Dr. Taylor Scientist_158",Institute of Technology & Quantum Computing Research Group,2021-04-17,2022-06-15,US-16877079-B2,FILED,G06F 17/79 (IPC) | H04L 9/26 (CPC),US,"Quantum Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-16877079-B2
Software Engineering,Method and System for Software Engineering Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Software Engineering optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_125, Dr. Taylor Scientist_125",Institute of Technology & Software Engineering Research Group,2021-05-24,2022-06-15,US-65860041-B2,GRANTED,G06F 17/40 (IPC) | H04L 9/66 (CPC),US,"Software Engineering, automation, system, adaptive",https://www.lens.org/lens/patent/US-65860041-B2
Space Technology,Method and System for Space Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Space Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_72, Dr. Taylor Scientist_72",Institute of Technology & Space Technology Research Group,2021-11-10,2022-06-14,US-75732789-B2,FILED,G06F 17/19 (IPC) | H04L 9/41 (CPC),US,"Space Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-75732789-B2
Smart Cities,Method and System for Smart Cities Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Smart Cities optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_108, Dr. Taylor Scientist_108",Institute of Technology & Smart Cities Research Group,2021-04-22,2022-06-14,US-54764430-B2,GRANTED,G06F 17/19 (IPC) | H04L 9/69 (CPC),US,"Smart Cities, automation, system, adaptive",https://www.lens.org/lens/patent/US-54764430-B2
Smart Manufacturing,Method and System for Smart Manufacturing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Smart Manufacturing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_51, Dr. Taylor Scientist_51",Institute of Technology & Smart Manufacturing Research Group,2021-03-09,2022-06-14,US-24365970-B2,GRANTED,G06F 17/96 (IPC) | H04L 9/81 (CPC),US,"Smart Manufacturing, automation, system, adaptive",https://www.lens.org/lens/patent/US-24365970-B2
Autonomous Vehicles,Method and System for Autonomous Vehicles Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Autonomous Vehicles optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_97, Dr. Taylor Scientist_97",Institute of Technology & Autonomous Vehicles Research Group,2021-11-01,2022-06-14,US-17352574-B2,GRANTED,G06F 17/21 (IPC) | H04L 9/33 (CPC),US,"Autonomous Vehicles, automation, system, adaptive",https://www.lens.org/lens/patent/US-17352574-B2
Computer Vision,Method and System for Computer Vision Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Computer Vision optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_134, Dr. Taylor Scientist_134",Institute of Technology & Computer Vision Research Group,2021-10-12,2022-06-14,US-38386211-B2,FILED,G06F 17/78 (IPC) | H04L 9/43 (CPC),US,"Computer Vision, automation, system, adaptive",https://www.lens.org/lens/patent/US-38386211-B2
Artificial Intelligence,Method and System for Artificial Intelligence Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Artificial Intelligence optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_112, Dr. Taylor Scientist_112",Institute of Technology & Artificial Intelligence Research Group,2021-09-23,2022-06-14,US-99988160-B2,FILED,G06F 17/95 (IPC) | H04L 9/90 (CPC),US,"Artificial Intelligence, automation, system, adaptive",https://www.lens.org/lens/patent/US-99988160-B2
Healthcare,Method and System for Healthcare Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Healthcare optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_90, Dr. Taylor Scientist_90",Institute of Technology & Healthcare Research Group,2021-11-01,2022-06-13,US-28614217-B2,FILED,G06F 17/64 (IPC) | H04L 9/97 (CPC),US,"Healthcare, automation, system, adaptive",https://www.lens.org/lens/patent/US-28614217-B2
FinTech,Method and System for FinTech Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing FinTech optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_154, Dr. Taylor Scientist_154",Institute of Technology & FinTech Research Group,2021-10-10,2022-06-13,US-35903568-B2,FILED,G06F 17/39 (IPC) | H04L 9/10 (CPC),US,"FinTech, automation, system, adaptive",https://www.lens.org/lens/patent/US-35903568-B2
Deep Learning,Method and System for Deep Learning Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Deep Learning optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_122, Dr. Taylor Scientist_122",Institute of Technology & Deep Learning Research Group,2021-06-23,2022-06-13,US-60110831-B2,FILED,G06F 17/10 (IPC) | H04L 9/66 (CPC),US,"Deep Learning, automation, system, adaptive",https://www.lens.org/lens/patent/US-60110831-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_191, Dr. Taylor Scientist_191",Institute of Technology & Cloud Computing Research Group,2021-03-18,2022-06-13,US-82352167-B2,GRANTED,G06F 17/63 (IPC) | H04L 9/64 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-82352167-B2
Cyber Security,Method and System for Cyber Security Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cyber Security optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_102, Dr. Taylor Scientist_102",Institute of Technology & Cyber Security Research Group,2021-05-09,2022-06-13,US-98339094-B2,GRANTED,G06F 17/74 (IPC) | H04L 9/40 (CPC),US,"Cyber Security, automation, system, adaptive",https://www.lens.org/lens/patent/US-98339094-B2
Cyber Security,Method and System for Cyber Security Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cyber Security optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_116, Dr. Taylor Scientist_116",Institute of Technology & Cyber Security Research Group,2021-02-20,2022-06-12,US-47356783-B2,GRANTED,G06F 17/97 (IPC) | H04L 9/56 (CPC),US,"Cyber Security, automation, system, adaptive",https://www.lens.org/lens/patent/US-47356783-B2
Space Technology,Method and System for Space Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Space Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_100, Dr. Taylor Scientist_100",Institute of Technology & Space Technology Research Group,2021-03-13,2022-06-12,US-36844956-B2,GRANTED,G06F 17/56 (IPC) | H04L 9/12 (CPC),US,"Space Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-36844956-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_94, Dr. Taylor Scientist_94",Institute of Technology & Blockchain Research Group,2021-03-17,2022-06-12,US-66014401-B2,GRANTED,G06F 17/98 (IPC) | H04L 9/86 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-66014401-B2
Semiconductor Technology,Method and System for Semiconductor Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Semiconductor Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_60, Dr. Taylor Scientist_60",Institute of Technology & Semiconductor Technology Research Group,2021-08-21,2022-06-11,US-59001387-B2,FILED,G06F 17/89 (IPC) | H04L 9/73 (CPC),US,"Semiconductor Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-59001387-B2
Quantum Computing,Method and System for Quantum Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Quantum Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_145, Dr. Taylor Scientist_145",Institute of Technology & Quantum Computing Research Group,2021-08-31,2022-06-11,US-19635337-B2,GRANTED,G06F 17/82 (IPC) | H04L 9/88 (CPC),US,"Quantum Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-19635337-B2
Computer Vision,Method and System for Computer Vision Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Computer Vision optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_97, Dr. Taylor Scientist_97",Institute of Technology & Computer Vision Research Group,2021-07-17,2022-06-10,US-68802595-B2,FILED,G06F 17/35 (IPC) | H04L 9/77 (CPC),US,"Computer Vision, automation, system, adaptive",https://www.lens.org/lens/patent/US-68802595-B2
FinTech,Method and System for FinTech Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing FinTech optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_193, Dr. Taylor Scientist_193",Institute of Technology & FinTech Research Group,2021-08-23,2022-06-10,US-27388255-B2,FILED,G06F 17/50 (IPC) | H04L 9/33 (CPC),US,"FinTech, automation, system, adaptive",https://www.lens.org/lens/patent/US-27388255-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_2, Dr. Taylor Scientist_2",Institute of Technology & Cloud Computing Research Group,2021-06-28,2022-06-09,US-68893585-B2,GRANTED,G06F 17/46 (IPC) | H04L 9/77 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-68893585-B2
Cyber Security,Method and System for Cyber Security Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cyber Security optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_83, Dr. Taylor Scientist_83",Institute of Technology & Cyber Security Research Group,2021-03-31,2022-06-09,US-68325615-B2,GRANTED,G06F 17/31 (IPC) | H04L 9/83 (CPC),US,"Cyber Security, automation, system, adaptive",https://www.lens.org/lens/patent/US-68325615-B2
Machine Learning,Method and System for Machine Learning Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Machine Learning optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_59, Dr. Taylor Scientist_59",Institute of Technology & Machine Learning Research Group,2021-11-16,2022-06-09,US-94974525-B2,FILED,G06F 17/67 (IPC) | H04L 9/85 (CPC),US,"Machine Learning, automation, system, adaptive",https://www.lens.org/lens/patent/US-94974525-B2
Healthcare,Method and System for Healthcare Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Healthcare optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_96, Dr. Taylor Scientist_96",Institute of Technology & Healthcare Research Group,2021-12-04,2022-06-08,US-50261697-B2,GRANTED,G06F 17/96 (IPC) | H04L 9/53 (CPC),US,"Healthcare, automation, system, adaptive",https://www.lens.org/lens/patent/US-50261697-B2
Smart Cities,Method and System for Smart Cities Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Smart Cities optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_151, Dr. Taylor Scientist_151",Institute of Technology & Smart Cities Research Group,2021-11-03,2022-06-08,US-69988342-B2,FILED,G06F 17/57 (IPC) | H04L 9/37 (CPC),US,"Smart Cities, automation, system, adaptive",https://www.lens.org/lens/patent/US-69988342-B2
Medical Devices,Method and System for Medical Devices Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Medical Devices optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_4, Dr. Taylor Scientist_4",Institute of Technology & Medical Devices Research Group,2021-07-02,2022-06-08,US-71987443-B2,GRANTED,G06F 17/51 (IPC) | H04L 9/99 (CPC),US,"Medical Devices, automation, system, adaptive",https://www.lens.org/lens/patent/US-71987443-B2
5G / 6G Communications,Method and System for 5G / 6G Communications Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing 5G / 6G Communications optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_145, Dr. Taylor Scientist_145",Institute of Technology & 5G / 6G Communications Research Group,2021-02-13,2022-06-08,US-85315035-B2,GRANTED,G06F 17/69 (IPC) | H04L 9/86 (CPC),US,"5G / 6G Communications, automation, system, adaptive",https://www.lens.org/lens/patent/US-85315035-B2
Space Technology,Method and System for Space Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Space Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_126, Dr. Taylor Scientist_126",Institute of Technology & Space Technology Research Group,2021-11-27,2022-06-08,US-85728848-B2,GRANTED,G06F 17/23 (IPC) | H04L 9/50 (CPC),US,"Space Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-85728848-B2
Internet of Things,Method and System for Internet of Things Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Internet of Things optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_78, Dr. Taylor Scientist_78",Institute of Technology & Internet of Things Research Group,2021-08-13,2022-06-07,US-59075504-B2,GRANTED,G06F 17/24 (IPC) | H04L 9/83 (CPC),US,"Internet of Things, automation, system, adaptive",https://www.lens.org/lens/patent/US-59075504-B2
Computer Vision,Method and System for Computer Vision Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Computer Vision optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_18, Dr. Taylor Scientist_18",Institute of Technology & Computer Vision Research Group,2021-03-29,2022-06-07,US-95765389-B2,FILED,G06F 17/87 (IPC) | H04L 9/17 (CPC),US,"Computer Vision, automation, system, adaptive",https://www.lens.org/lens/patent/US-95765389-B2
Agriculture Technology,Method and System for Agriculture Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Agriculture Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_62, Dr. Taylor Scientist_62",Institute of Technology & Agriculture Technology Research Group,2021-05-02,2022-06-07,US-49944928-B2,FILED,G06F 17/40 (IPC) | H04L 9/33 (CPC),US,"Agriculture Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-49944928-B2
FinTech,Method and System for FinTech Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing FinTech optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_16, Dr. Taylor Scientist_16",Institute of Technology & FinTech Research Group,2021-06-03,2022-06-07,US-37463175-B2,GRANTED,G06F 17/59 (IPC) | H04L 9/73 (CPC),US,"FinTech, automation, system, adaptive",https://www.lens.org/lens/patent/US-37463175-B2
Internet of Things,Method and System for Internet of Things Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Internet of Things optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_22, Dr. Taylor Scientist_22",Institute of Technology & Internet of Things Research Group,2021-10-20,2022-06-06,US-77265222-B2,FILED,G06F 17/91 (IPC) | H04L 9/23 (CPC),US,"Internet of Things, automation, system, adaptive",https://www.lens.org/lens/patent/US-77265222-B2
Space Technology,Method and System for Space Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Space Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_26, Dr. Taylor Scientist_26",Institute of Technology & Space Technology Research Group,2021-06-27,2022-06-05,US-93982811-B2,GRANTED,G06F 17/16 (IPC) | H04L 9/49 (CPC),US,"Space Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-93982811-B2
Biotechnology,Method and System for Biotechnology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Biotechnology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_120, Dr. Taylor Scientist_120",Institute of Technology & Biotechnology Research Group,2021-03-07,2022-06-05,US-30667589-B2,FILED,G06F 17/34 (IPC) | H04L 9/33 (CPC),US,"Biotechnology, automation, system, adaptive",https://www.lens.org/lens/patent/US-30667589-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_177, Dr. Taylor Scientist_177",Institute of Technology & Cloud Computing Research Group,2021-10-10,2022-06-04,US-49468210-B2,GRANTED,G06F 17/64 (IPC) | H04L 9/91 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-49468210-B2
Computer Vision,Method and System for Computer Vision Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Computer Vision optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_89, Dr. Taylor Scientist_89",Institute of Technology & Computer Vision Research Group,2021-09-04,2022-06-04,US-51097955-B2,GRANTED,G06F 17/58 (IPC) | H04L 9/36 (CPC),US,"Computer Vision, automation, system, adaptive",https://www.lens.org/lens/patent/US-51097955-B2
Artificial Intelligence,Method and System for Artificial Intelligence Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Artificial Intelligence optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_138, Dr. Taylor Scientist_138",Institute of Technology & Artificial Intelligence Research Group,2021-10-08,2022-06-04,US-16578124-B2,GRANTED,G06F 17/66 (IPC) | H04L 9/92 (CPC),US,"Artificial Intelligence, automation, system, adaptive",https://www.lens.org/lens/patent/US-16578124-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_135, Dr. Taylor Scientist_135",Institute of Technology & Cloud Computing Research Group,2021-06-26,2022-06-03,US-34711469-B2,GRANTED,G06F 17/77 (IPC) | H04L 9/78 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-34711469-B2
Smart Manufacturing,Method and System for Smart Manufacturing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Smart Manufacturing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_110, Dr. Taylor Scientist_110",Institute of Technology & Smart Manufacturing Research Group,2021-10-18,2022-06-03,US-88128047-B2,GRANTED,G06F 17/46 (IPC) | H04L 9/46 (CPC),US,"Smart Manufacturing, automation, system, adaptive",https://www.lens.org/lens/patent/US-88128047-B2
Quantum Computing,Method and System for Quantum Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Quantum Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_104, Dr. Taylor Scientist_104",Institute of Technology & Quantum Computing Research Group,2021-07-18,2022-06-03,US-55599348-B2,GRANTED,G06F 17/67 (IPC) | H04L 9/43 (CPC),US,"Quantum Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-55599348-B2
Medical Devices,Method and System for Medical Devices Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Medical Devices optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_130, Dr. Taylor Scientist_130",Institute of Technology & Medical Devices Research Group,2021-11-27,2022-06-03,US-50918006-B2,FILED,G06F 17/23 (IPC) | H04L 9/19 (CPC),US,"Medical Devices, automation, system, adaptive",https://www.lens.org/lens/patent/US-50918006-B2
Medical Devices,Method and System for Medical Devices Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Medical Devices optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_58, Dr. Taylor Scientist_58",Institute of Technology & Medical Devices Research Group,2021-02-05,2022-06-03,US-39513449-B2,GRANTED,G06F 17/34 (IPC) | H04L 9/74 (CPC),US,"Medical Devices, automation, system, adaptive",https://www.lens.org/lens/patent/US-39513449-B2
FinTech,Method and System for FinTech Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing FinTech optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_50, Dr. Taylor Scientist_50",Institute of Technology & FinTech Research Group,2021-10-07,2022-06-02,US-32652516-B2,GRANTED,G06F 17/47 (IPC) | H04L 9/59 (CPC),US,"FinTech, automation, system, adaptive",https://www.lens.org/lens/patent/US-32652516-B2
Biotechnology,Method and System for Biotechnology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Biotechnology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_181, Dr. Taylor Scientist_181",Institute of Technology & Biotechnology Research Group,2021-03-17,2022-06-02,US-65172558-B2,GRANTED,G06F 17/60 (IPC) | H04L 9/96 (CPC),US,"Biotechnology, automation, system, adaptive",https://www.lens.org/lens/patent/US-65172558-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_92, Dr. Taylor Scientist_92",Institute of Technology & Blockchain Research Group,2021-07-31,2022-06-01,US-11539117-B2,GRANTED,G06F 17/43 (IPC) | H04L 9/69 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-11539117-B2
Healthcare,Method and System for Healthcare Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Healthcare optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_137, Dr. Taylor Scientist_137",Institute of Technology & Healthcare Research Group,2021-07-04,2022-06-01,US-33107521-B2,GRANTED,G06F 17/85 (IPC) | H04L 9/75 (CPC),US,"Healthcare, automation, system, adaptive",https://www.lens.org/lens/patent/US-33107521-B2
Deep Learning,Method and System for Deep Learning Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Deep Learning optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_71, Dr. Taylor Scientist_71",Institute of Technology & Deep Learning Research Group,2021-04-07,2022-06-01,US-83601820-B2,FILED,G06F 17/63 (IPC) | H04L 9/43 (CPC),US,"Deep Learning, automation, system, adaptive",https://www.lens.org/lens/patent/US-83601820-B2
Smart Manufacturing,Method and System for Smart Manufacturing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Smart Manufacturing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_71, Dr. Taylor Scientist_71",Institute of Technology & Smart Manufacturing Research Group,2021-04-24,2022-05-31,US-63239377-B2,FILED,G06F 17/16 (IPC) | H04L 9/16 (CPC),US,"Smart Manufacturing, automation, system, adaptive",https://www.lens.org/lens/patent/US-63239377-B2
Internet of Things,Method and System for Internet of Things Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Internet of Things optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_1, Dr. Taylor Scientist_1",Institute of Technology & Internet of Things Research Group,2021-07-24,2022-05-31,US-19838910-B2,FILED,G06F 17/84 (IPC) | H04L 9/53 (CPC),US,"Internet of Things, automation, system, adaptive",https://www.lens.org/lens/patent/US-19838910-B2
Autonomous Vehicles,Method and System for Autonomous Vehicles Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Autonomous Vehicles optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_101, Dr. Taylor Scientist_101",Institute of Technology & Autonomous Vehicles Research Group,2021-07-29,2022-05-31,US-10190497-B2,FILED,G06F 17/60 (IPC) | H04L 9/62 (CPC),US,"Autonomous Vehicles, automation, system, adaptive",https://www.lens.org/lens/patent/US-10190497-B2
Renewable Energy,Method and System for Renewable Energy Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Renewable Energy optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_130, Dr. Taylor Scientist_130",Institute of Technology & Renewable Energy Research Group,2021-06-25,2022-05-30,US-98081066-B2,GRANTED,G06F 17/46 (IPC) | H04L 9/87 (CPC),US,"Renewable Energy, automation, system, adaptive",https://www.lens.org/lens/patent/US-98081066-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_74, Dr. Taylor Scientist_74",Institute of Technology & Blockchain Research Group,2021-01-24,2022-05-30,US-54070969-B2,GRANTED,G06F 17/55 (IPC) | H04L 9/97 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-54070969-B2
Quantum Computing,Method and System for Quantum Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Quantum Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_83, Dr. Taylor Scientist_83",Institute of Technology & Quantum Computing Research Group,2021-11-26,2022-05-30,US-50067776-B2,FILED,G06F 17/76 (IPC) | H04L 9/50 (CPC),US,"Quantum Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-50067776-B2
Healthcare,Method and System for Healthcare Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Healthcare optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_103, Dr. Taylor Scientist_103",Institute of Technology & Healthcare Research Group,2021-04-10,2022-05-30,US-28527334-B2,FILED,G06F 17/90 (IPC) | H04L 9/72 (CPC),US,"Healthcare, automation, system, adaptive",https://www.lens.org/lens/patent/US-28527334-B2
Cyber Security,Method and System for Cyber Security Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cyber Security optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_79, Dr. Taylor Scientist_79",Institute of Technology & Cyber Security Research Group,2021-07-14,2022-05-29,US-97475716-B2,GRANTED,G06F 17/47 (IPC) | H04L 9/15 (CPC),US,"Cyber Security, automation, system, adaptive",https://www.lens.org/lens/patent/US-97475716-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_175, Dr. Taylor Scientist_175",Institute of Technology & Blockchain Research Group,2021-03-18,2022-05-29,US-31260463-B2,GRANTED,G06F 17/13 (IPC) | H04L 9/41 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-31260463-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_187, Dr. Taylor Scientist_187",Institute of Technology & Cloud Computing Research Group,2021-03-13,2022-05-28,US-19336063-B2,GRANTED,G06F 17/96 (IPC) | H04L 9/65 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-19336063-B2
